Keyword,Column_To_Search,Category,Entity_Name
מסלול מורחב,Original_Desc,מסלול בנק,בנק
עמל.ערוץ,Original_Desc,עמלות בנק,בנק
ש.שלמה,Original_Desc,ביטוח,ש.שלמה חברה
חברת חשמל,Original_Desc,חשמל ציבורי,חברת החשמל
חברת החשמל,Original_Desc,חשמל ציבורי,חברת החשמל
חברת פרטנר,Original_Desc,פרטנר,חברת פרטנר
בזק,Original_Desc,בזק,בזק
קונה,Original_Desc,קונה מעליות,קונה
נובולה,Original_Desc,Novula - מסך טלויזיה,נובולה
טיבה,Original_Ext_Desc,בדק מעליות,טיבה
ארדן,Original_Ext_Desc,ארדן בטיחות,ארדן
ניקיון,Original_Ext_Desc,יניב אחזקות,יניב אחזקות
חלבי כרמי,Original_Ext_Desc,גינון,חלבי כרמי
